lemma,poscode,surface
python-keyring,0,
phppowerpoint,0,
qxmlstreamreader,0,
git-archive,0,
debhelper,0,
webcal,0,
drawingvisual,0,
matchtemplate,0,
grails-2.1,0,
rails-cells,0,
kal,0,
excel-import,0,
python-nonlocal,0,
opengl-2.0,0,
jade4j,0,
root-certificate,0,
pysimplesoap,0,
constantfolding,0,
view-hierarchy,0,
gemalto,0,
rabbitmq-shovel,0,
git-annex,0,
facebook-app-center,0,
jquery-mobile-flipswitch,0,
nose2,0,
twemproxy,0,
sip-servlet,0,
bisonc++,0,
seven-segment-display,0,
tokumx,0,
appwarp,0,
dotspatial,0,
wice-grid,0,
samsung-touchwiz,0,
visual-studio-monaco,0,
ddl-trigger,0,
fusionpbx,0,
simba,0,
rfc5766turnserver,0,
runjags,0,
mortar,0,
get-eventlog,0,
stackage,0,
vsixmanifest,0,
client-side-attacks,0,
left-to-right,0,
pyroot,0,
freecad,0,
logback-groovy,0,
banana,0,
deselect,0,
node.js-tape,0,
mean-shift,0,
rpres,0,
xcode6gm,0,
activeweb,0,
shellshock-bash-bug,0,
iri,0,
treetagger,0,
ngmocke2e,0,
oneplusone,0,
logical-purity,0,
supersonic,0,
cachemanager,0,
android-pdf-api,0,
cmocka,0,
dspic,0,
halogen,0,
webtorrent,0,
commercetools,0,
distriqt,0,
f-bounded-polymorphism,0,
smartsheet-api-2.0,0,
php-zip-archive,0,
svg-path,0,svg
sssd,0,
ko-custom-binding,0,
installshield-2015,0,
suitesparse,0,
chimp.js,0,
katharsis,0,
eb,0,
function-definition,0,
aurelia-fetch-client,0,
pq,0,
nltk-trainer,0,
silentpush,0,
knox-gateway,0,
swiftydropbox,0,
react-thunk,0,
azure-hub,0,
jemalloc,0,
juno-ide,0,
kodein,0,
tvos10,0,
travis-ci-cli,0,
spir-v,0,
mlpack,0,
tcomb-form-native,0,
selenium-edgedriver,0,
wpf-mediakit,0,
angular-xeditable,0,
apache-spark-encoders,0,
nativescript-cli,0,
iron-ajax,0,
xamarin-zebble,0,
apache-spark-xml,0,
mpremotecommandcenter,0,
laravel-jobs,0,
android-architecture,0,
mfp,0,
custom-functions-excel,0,
openshift-online,0,
circleci-workflows,0,
ngzone,0,
ggridges,0,
kubernetes-networkpolicy,0,
ncdf4,0,
chrome-debugging,0,
react-native-animatable,0,
cloudflare-workers,0,
nativecall,0,
angular-pwa,0,
picocli,0,
db-browser-sqlite,0,
azure-iot-central,0,
adwords-api-v201802,0,
aws-transcribe,0,
greengrass,0,
hc-05,0,
ordereddict,0,
messagekit,0,
scipy-spatial,0,
spark-shell,0,
coldfusion-2018,0,
sumproduct,0,
node-oracledb,0,
clr-profiling-api,0,
google-cloud-data-fusion,0,
seetest,0,
compiz,0,
scrollwheel,0,mousewheel
palm-os,0,
kr-c,0,kernighan-and-ritchie
vistadb,0,
hash-code-uniqueness,0,
brew-framework,0,
ospf,0,
rightfax,0,
anonymous-objects,0,
snk,0,
hierarchical-trees,0,
dm,0,
richtextediting,0,
tree-nodes,0,treenode
pvcs,0,
cmdb,0,
httpforbiddenhandler,0,
serialscroll,0,
properties.settings,0,
shred,0,
shfb,0,
componentart,0,
business-connector,0,
software-update,0,
phptal,0,
last-occurrence,0,
flup,0,
enterframeevent,0,
upx,0,
source-control-bindings,0,
addremoveprograms,0,
document-class,0,
syswow64,0,
pointcuts,0,pointcut
beforeupdate,0,
google-ajax-api,0,
sum-of-digits,0,
boxsizer,0,
anonymous-delegates,0,
datecreated,0,
insert-query,0,
wymeditor,0,
collaborative,0,
makemaker,0,
jacl,0,
format-patch,0,
rdb,0,
clickable-image,0,
rationale,0,
copybook,0,
cryptanalysis,0,
script-debugging,0,
uniobjects,0,
pass-by-name,0,
textrenderer,0,
svn-server,0,
exiv2,0,
disconnection,0,
jquery-chaining,0,
memcachedb,0,
flex-charting,0,
pymacs,0,
motion-blur,0,
boost-xpressive,0,
structlayout,0,
nhibernate-cascade,0,
xml-generation,0,
system-identification,0,
table-rename,0,
django-multilingual,0,
outer-classes,0,
intersystems-ensemble,0,
peoplesoft-app-engine,0,
webstore,0,
flowdocumentreader,0,
active-pattern,0,active-patterns
m4v,0,
grandchild,0,
vsam,0,
mouseleftbuttondown,0,
fail-fast,0,
chaiscript,0,
portable-areas,0,
nsconnection,0,
albacore,0,
tla+,0,
virtual-printer,0,
fromfile,0,
ios3.0,0,
getlatest,0,
password-confirmation,0,
jquery-1.3,0,
webformsmvp,0,
rawcontacts,0,
external-url,0,
zend-optimizer,0,
register-globals,0,
ibtool,0,
premailer,0,
bcdedit,0,
edb,0,
xmpphp,0,
radmenu,0,
ora-06512,0,
conceptual-model,0,
mvs,0,
sips,0,
alternate-data-stream,0,
non-volatile,0,
dbforge,0,
powervr-sgx,0,
invokescript,0,
air-android,0,
c2hs,0,
anydac,0,
bash-function,0,bash
netldap,0,
fbdialogs,0,
jquery-slide-effects,0,
content-pipeline,0,
gethostbyaddr,0,
missing-template,0,
ruboto,0,
anemone,0,
joyent,0,
compound-drawables,0,
post-conditions,0,
xacml2,0,
update-statement,0,
reportgenerator,0,
qtgstreamer,0,
pythonbrew,0,
nstableheaderview,0,
clearcase-automation,0,
blender-2.61,0,
pythonmagick,0,
adwords-api-v201109,0,
automap,0,
django-sitemaps,0,
rhodecode,0,
jasmine-maven-plugin,0,
tarjans-algorithm,0,
safari6,0,
libyuv,0,
postgresql-8.2,0,
jquery-dropkick,0,
google-admin-settings-api,0,
x-macros,0,
play-authenticate,0,
off-by-one,0,
harfbuzz,0,
xtype,0,
notorm,0,
android-make,0,
sample-size,0,
imgkit,0,
pechkin,0,
cisco-axl,0,
allocatable-array,0,
raw-pointer,0,
multiselectlistpreference,0,
mediafire,0,
http-equiv,0,
thread-sanitizer,0,
android-maps-extensions,0,
pyv8,0,
ytplayer,0,
address-operator,0,
jquery-trigger,0,
flask-assets,0,
worklight-console,0,
role-manager,0,
magicalrecord-2.2,0,
bitmapdrawable,0,
fedext,0,
web-console,0,
roweditor,0,
jstree-search,0,
cmis-workbench,0,
lastpass,0,
skeffectnode,0,
skvideonode,0,
fastclick.js,0,
emacs-semantic,0,
beatsmusic,0,
gecode,0,
hashbytes,0,
cargo-maven2-plugin,0,
cordova-chrome-app,0,
opkg,0,
bing-translator-api,0,
ngcloak,0,
opensc,0,
vlc-qt,0,
uiimageasset,0,
vaadin6,0,
denodo,0,
richtextfx,0,
preg-grep,0,
private-network,0,
chef-zero,0,
iotivity,0,
jquery.panzoom,0,
mobilefirst-analytics,0,
handlebars.java,0,
math.js,0,
outer-apply,0,
eclipse-jee,0,
oasis,0,
exceptionmapper,0,
wkinterfacelabel,0,
weblate,0,
renpy,0,
ngdoc,0,
ezplatform,0,
zomato-api,0,
shopp,0,
appcompat-v7-r22.2,0,
luks,0,
datastax-php-driver,0,
easypost,0,
jasmine-reporters,0,
playscape,0,
unoconv,0,
express-stormpath,0,
heyzap,0,
pgloader,0,
sas-metadata,0,
folly,0,
custom-notificaiton,0,
psftp,0,
babel-register,0,
property-observer,0,
appcelerator-arrow,0,
biomart,0,
tealium,0,
gtrendsr,0,
theano.scan,0,
fastlane-match,0,
orientdb-etl,0,
postgrest,0,
trait-objects,0,
magenta,0,
neo4j-bolt,0,
sortablejs,0,
android-jodatime,0,
sharepoint-addin,0,
kamon,0,
google-app-engine-go,0,
govendor,0,
hidpi,0,
iperf3,0,
wordpress.com,0,
october-form-controller,0,
iglistkit,0,
selectpdf,0,
android-flexboxlayout,0,
cmb2,0,
pf-datatable,0,
zebble,0,
ngb-datepicker,0,
spring-data-neo4j-5,0,spring-data-neo4j
typescript2.4,0,
polymer-2.0,0,
spek,0,
absinthe,0,
swirl,0,
cookie-authentication,0,
portainer,0,
bokehjs,0,
plyr.js,0,
twitch-api,0,
asp.net-core-webapi-2.1,0,
tkinter-scale,0,
mule4,0,
openjdk-11,0,
leader,0,
xmlsocket,0,
servicepacks,0,service-pack
language-binding,0,
candidate,0,
cd-burning,0,
tradeoff,0,
event-based-programming,0,
double-byte,0,
google-data,0,
strtr,0,
registrar,0,
rendering-engine,0,
global.asa,0,
params-keyword,0,
freetexttable,0,
spsite,0,
risk-management,0,
raiseerror,0,
spoof,0,
bacula,0,
corflags,0,
form-layout,0,
iidentity,0,
windows-98,0,
thread-state,0,
weak-typing,0,
cfile,0,
simbl,0,
system.addin,0,
nexusdb,0,
insertonsubmit,0,
time-estimation,0,
acceptance,0,
parameter-sniffing,0,
advertisement-server,0,
snap-in,0,
unattended-processing,0,
check-digit,0,
process-control,0,
nested-transactions,0,
elementname,0,
multiboot,0,
named-routing,0,
optional-variables,0,
webconfigurationmanager,0,
asynchronous-wcf-call,0,
resolution-independence,0,
click-tracking,0,
xml-database,0,
page-replacement,0,
pynotify,0,
tfilestream,0,
zenoss,0,
handshaking,0,
switch-user,0,
code-security,0,
voxels,0,voxel
beans-binding,0,
total-commander,0,
tagged-corpus,0,
callblocking,0,
windowsdomainaccount,0,
streaming-flv-video,0,
java-interop,0,
merge-statement,0,
nested-properties,0,
cxxtest,0,
msvcr90.dll,0,
j9,0,
datascroller,0,
libnotify,0,
asp.net-caching,0,
active-objects,0,
phpflickr,0,
hxcpp,0,
httperf,0,
erlangweb,0,
symlink-traversal,0,
nomachine-nx,0,nx
acc,0,
jsr296,0,
pyfacebook,0,
xop,0,
codecvt,0,
jawr,0,
name-conflict,0,
verbatim,0,
function-module,0,
fslex,0,
specular,0,
datacontracts,0,datacontract
interface-orientation,0,
windows-ribbon-framework,0,
materialized-path-pattern,0,
stretched,0,
programming-pearls,0,
cfimage,0,
case-expression,0,
word-field,0,
gwt-tablayoutpanel,0,
browser-bugs,0,
context-bound,0,
timagelist,0,
binary-reproducibility,0,
esri-arc-engine,0,
sandbox-solution,0,
eclipse-mat,0,
jquery-focusout,0,
magellan,0,
eclipse-rse,0,
apache-nms,0,
imapx,0,
appendtext,0,
filestreams,0,filestream
typed-factory-facility,0,
turbo-prolog,0,
inspectdb,0,
delphi-ide,0,
sitebricks,0,
lispworks,0,
nsrunningapplication,0,
nosuchmethod,0,
pppd,0,
binary-matrix,0,
n3,0,
azure-role-environment,0,
browserid,0,
non-repetitive,0,
standard-layout,0,
data-quality-services,0,
onrender,0,
hoare-logic,0,
nsxmlelement,0,
episerver-6-r2,0,
wiki-markup,0,
adgroup,0,
weakmap,0,
jumi,0,
android-1.5-cupcake,0,android-1.5
poeaa,0,
ubifs,0,
iced-coffeescript,0,
servicepointmanager,0,
single-precision,0,
aviarc,0,
protostuff,0,
spin.js,0,
gcc-extensions,0,
pattern-layout,0,
uikit-state-preservation,0,
fileopenpicker,0,
rook,0,
ddmathparser,0,
set-comprehension,0,
remotipart,0,
backbone-stickit,0,
logical-or,0,
goose,0,
mruby,0,
ocaml-lwt,0,
visual-studio-package,0,
apple-numbers,0,
cyk,0,
spire,0,
pdfobject,0,
lifo,0,
maven-reactor,0,
slidesjs,0,
goinstant,0,
cub,0,
highgui,0,
unchecked-cast,0,
cefglue,0,
jsonstream,0,
html5-apps,0,
connman,0,
xpce,0,
bootstrap-wysihtml5,0,
mvxbind,0,
pdist,0,
qcoreapplication,0,
itunes-search-api,0,
cbor,0,
eggplant,0,
express.io,0,
filenet-process-engine,0,
itextg,0,
zoomcharts,0,
weblog,0,
sap-smp,0,
http-status-code-204,0,
virtual-network,0,
bundle-layout,0,
flowgear,0,
exrm,0,
software-serial,0,
rails-generators,0,
roxy-fileman,0,
apple-configurator,0,
epublib,0,
testify,0,
struts2-namespace,0,
openfst,0,
vincent,0,
prezto,0,
eclipse-formatter,0,
java-print,0,
dub,0,
protobuf-csharp-port,0,
ms-access-data-macro,0,
nsstoryboard,0,
autopep8,0,
multiple-arguments,0,
android-a11y,0,
bond,0,
skyfield,0,
boost-coroutine,0,
line-profiler,0,
bindservice,0,
commonmark,0,
unified-service-desk,0,
lxml.objectify,0,
bigsql,0,
facebook-graph-api-v2.3,0,
sysml,0,
cpanel-xmlapi,0,
angular-ng-class,0,
sas-dis,0,
teamcity-9.1,0,
boost-polygon,0,
pyasn1,0,
pdfrw,0,
c++builder-10-seattle,0,
ios-multithreading,0,
gpt,0,
pyx,0,
jquery-nestable,0,
apache-directory,0,
swift-structs,0,
onepage-scroll,0,
picture-in-picture,0,
numpy-random,0,
cssnext,0,
ng-filter,0,
docker-ucp,0,
esri-leaflet,0,
amazon-mobile-hub,0,
sonarqube-5.4,0,
azure-availability-set,0,
intrinsic-content-size,0,
phpwkhtmltopdf,0,
drc,0,
background-sync,0,
sw-toolbox,0,
c++builder-10.1-berlin,0,
gabor-filter,0,
akka.net-persistence,0,
twig-filter,0,
xcode-command-line-tools,0,
etcd3,0,
object-fit,0,
vertx-httpclient,0,
radium,0,
proc-r-package,0,
shinyproxy,0,
pykalman,0,
mobile-center,0,
std-filesystem,0,
stringindexoutofbounds,0,
redmi-device,0,
telegraf-inputs-plugin,0,
chatfuel,0,
zsh-zle,0,
emq,0,
axios-mock-adapter,0,
thephpleague,0,
uidocumentbrowservc,0,
node-config,0,
zalenium,0,
intel-pmu,0,
aws-sdk-java-2.0,0,
whitenoise,0,
zero-padding,0,
laravel-session,0,
encodable,0,
stm32f1,0,
ros2,0,
monte-carlo-tree-search,0,mcts
likert,0,
bim,0,
kubernetes-cronjob,0,
google-cloud-memorystore,0,
slack-commands,0,
decentralized-applications,0,
codeigniter-htaccess,0,
kantu,0,
micro-frontend,0,
vscodevim,0,
reflect,0,
apache-airflow-xcom,0,
react-native-vector-icons,0,
mlp,0,
stream-builder,0,
ganache,0,
marginal-effects,0,
play-framework-2.7,0,
go-echo,0,echo-framework
binary-log,0,
eruby,0,
gambling,0,
mru,0,
perldoc,0,
text-comparison,0,
ejb-jar.xml,0,
function-literal,0,
hybridauthprovider,0,
sql-session-state,0,
prefixes,0,
caspol,0,
tightly-coupled-code,0,
controltemplates,0,controltemplate
perspectives,0,perspective
contextclassloader,0,
handhelddevice,0,personal-digital-assistant
unfuddle,0,
procmon,0,
magic-function,0,
rdfstore,0,
object-code,0,
tobjectlist,0,
notification-bar,0,
wincvs,0,
multiple-makefiles,0,
datemodified,0,
srs,0,
formula-editor,0,
commodore,0,
rlike,0,
scriptcontrol,0,
inetd,0,
system.transactions,0,
helper-functions,0,
system.io.packaging,0,
mail-queue,0,
stripchart,0,
name-attribute,0,
drop-shadow,0,dropshadow
umount,0,
page-setup,0,
exception-specification,0,
blitz++,0,
keynotfoundexception,0,
wordpad,0,
rsvg,0,
gedcom,0,
dlquery,0,
